"logFC","logCPM","F","PValue","FDR","gene"
-0.334638933203067,3.65648749506299,1.28893167407351,0.269975250374649,0.50876429654112,"cima-1"
-0.101233692428533,10.3237892654016,1.28749275849995,0.270228927563852,0.509134434195849,"acdh-1"
0.113444760622472,8.64317386054024,1.28684814052059,0.270345158547926,0.509159755400638,"rps-23"
-0.181951239524622,5.54128346394517,1.28676621687676,0.270360250397365,0.509159755400638,"W03A5.6"
0.385111279759911,3.36489825132199,1.2865187600912,0.270414167697876,0.509159755400638,"F23C8.3"
0.308769339873319,4.75397429635092,1.28584751038928,0.270526637940691,0.509263675191761,"T19C9.8"
-0.25858328312676,4.3796365380886,1.2845847241444,0.270755406571125,0.509586435187103,"nlf-1"
-0.113457077447358,7.85790380789026,1.28416168451107,0.27083025917461,0.509619435835229,"gpx-2"
-0.224172166978868,5.55261062384422,1.28372827505493,0.270908934225382,0.509659613668615,"pct-1"
0.204235841732808,5.55625201723961,1.28282443733949,0.271072446035541,0.50985934370679,"M163.1"
0.336217546569382,3.80754365974475,1.2821522979688,0.27119789940914,0.509987420399041,"npr-6"
0.226792868928791,4.67525297294527,1.28102151894532,0.271399754940118,0.510259086735586,"T07F10.3"
0.320636355898292,3.76939733809714,1.28016082010331,0.271559154127582,0.510450832843199,"C17H12.10"
0.107193678386002,8.04456308180567,1.27938209492593,0.271696157208479,0.510600408738234,"rpt-4"
0.327710077121099,3.60215539910836,1.27735744753791,0.272069896626355,0.511194727579232,"ZK1127.13"
0.130883304696273,6.71424592648079,1.27518196578542,0.272460199417516,0.511819909786844,"mrp-7"
0.204922849416841,5.48770429907831,1.27378592201164,0.272714984898455,0.512177291146617,"scav-4"
0.0934304606344804,9.16969024053828,1.27301890133612,0.27285464125409,0.512177291146617,"clec-50"
0.293286180139518,4.02630320984381,1.27283454850441,0.272891085709436,0.512177291146617,"K12H4.2"
0.158604728561317,5.98607226673007,1.27277020645087,0.272900231871651,0.512177291146617,"spr-5"
-0.230098153198106,4.91091199923529,1.2722426361136,0.27299717192808,0.512177291146617,"B0272.4"
-0.174053433295782,5.57566110482303,1.27200436221657,0.273040256517489,0.512177291146617,"T16G1.9"
-0.159512659333621,6.58957301788285,1.271929792129,0.273053690252498,0.512177291146617,"F32B4.4"
-0.349024057112789,3.80648064179252,1.27114341059184,0.273201563842065,0.512346573322041,"dyf-1"
