"logFC","logCPM","F","PValue","FDR","gene"
0.721895556404124,5.22803588532454,1.71430107356636,0.193950992146466,0.672317750161423,"tdp-1"
-0.787336727465312,5.00032281418798,1.71284802527745,0.194139768497237,0.672496867569877,"kcc-3"
-0.26324110825842,8.48820816060474,1.70990873693527,0.19451396457561,0.673317569684804,"ears-1"
-0.416347122727657,6.63201453018258,1.70725686803316,0.194857147562182,0.673554795302847,"cdc-14"
-0.233897571394416,9.04223140789366,1.70513809749954,0.195131404728327,0.673554795302847,"sdha-1"
-0.570333238733094,5.6912945523546,1.70514666209355,0.195131952774001,0.673554795302847,"Y41D4A.7"
-0.273722683324463,8.42872370776445,1.70190984322156,0.195550564902232,0.673554795302847,"acdh-10"
-0.452444855227766,6.37388917209148,1.70051487722893,0.195732400337357,0.673554795302847,"mtrr-1"
0.711033214153099,5.27116490358836,1.69906633645302,0.195924123933409,0.673554795302847,"bre-4"
-0.644863107405272,5.39332393821334,1.69898004124581,0.19593500089529,0.673554795302847,"fipr-21"
0.435131919700817,6.59966202398139,1.69865382276325,0.195974733540227,0.673554795302847,"F56H11.2"
-0.589895675106051,5.60717788643405,1.69830763943105,0.19602151176403,0.673554795302847,"B0238.11"
-0.467130540084583,6.29159236077574,1.69749116317675,0.196126464134833,0.673554795302847,"his-1"
-0.625339557730488,5.4592360086114,1.69703869486695,0.196187781384019,0.673554795302847,"lido-8"
0.256263009118296,8.667559202205,1.69669164453007,0.196230336898628,0.673554795302847,"rpt-2"
-0.36069938343481,7.19548946478436,1.69033704485626,0.197062052811905,0.675865715640842,"ppm-2"
0.427406058898922,6.74585859892437,1.68944587485499,0.197179172086044,0.675865715640842,"vps-34"
0.644625989918476,5.47611753578074,1.68831196333107,0.197330930599895,0.675913557676317,"unc-63"
0.306683726230329,7.78508843345951,1.6851950679589,0.197737981583713,0.676335016803643,"elo-3"
-0.644622814516938,5.4305835397144,1.68290325653542,0.198043036737346,0.676335016803643,"C14C6.2"
-0.524095542887866,5.9057692450962,1.68250529152268,0.198093686707164,0.676335016803643,"mboa-2"
0.551927594711335,5.78754707919518,1.68065177656244,0.198339394950643,0.676335016803643,"dohh-1"
-0.270074510685621,8.40341992550989,1.68036115331082,0.198375954964558,0.676335016803643,"T28C12.4"
-0.556748743223114,5.76580668989217,1.68018570156273,0.198400528503679,0.676335016803643,"Y105C5B.9"
0.723427721151857,5.16588448586204,1.68005971488684,0.198419182299784,0.676335016803643,"elpc-4"
0.580039891014178,5.65054140598995,1.67809283674772,0.198678562793509,0.676573216472879,"F38B2.4"
-0.450839406993986,6.32492654162183,1.67742623453109,0.19876493474769,0.676573216472879,"F09E5.3"
0.63612392340776,5.42653286387669,1.67625488884065,0.198923063009066,0.676641902953863,"syf-2"
0.257087933066073,8.61454845382687,1.67466016797293,0.199131551365973,0.676881676680593,"W09C5.1"
0.396805550971399,6.83170428827844,1.67246421950354,0.19942373410616,0.677372015950451,"hex-2"
0.49095278996524,6.11369987380063,1.67150617465882,0.199552000621489,0.677372015950451,"rrf-1"
0.42708952075597,6.54527248103706,1.66984079079551,0.199773354680923,0.677447142040194,"T19A6.1"
-0.377764816392662,6.94086795216648,1.66926178234112,0.199850359741521,0.677447142040194,"ZK643.5"
-0.314688782965842,7.73337579749306,1.66774929114533,0.200052151481758,0.677662847388136,"flp-1"
-0.302914122398258,7.73489345507901,1.66511374730113,0.200404554077991,0.678388086785745,"Y43C5A.2"
0.549912114594928,6.03853069147878,1.66286882069498,0.200706417290536,0.678941363317296,"pcp-5"
-0.208435319475764,9.59748357333562,1.65920784849838,0.201196877940418,0.680131417159029,"F49E2.5"
0.238855923176362,8.87687282479505,1.65803945282557,0.20135409143855,0.680163977808575,"byn-1"
-0.50781251651931,6.00371855658007,1.65708211557491,0.201483845006291,0.680163977808575,"mfn-1"
-0.423354841036153,6.5481760901132,1.65482821870141,0.201787195110298,0.680719526833569,"T10B5.3"
0.772643433134703,4.98814474617467,1.65373007745069,0.201937437920439,0.68073860814408,"T14A8.2"
0.560785337684503,5.76333921910394,1.65274371758523,0.202070420684563,0.68073860814408,"cyn-15"
0.545808495457686,5.90084986158043,1.65164118528225,0.2022190917698,0.680771890961474,"rde-2"
0.288378153834529,8.07594068541001,1.64973800800954,0.202475275772182,0.681166822813822,"ran-1"
-0.404589367705761,6.69869928535981,1.64521259096699,0.203089798783469,0.681937896282921,"trxr-1"
-0.325273418434861,7.44099140926873,1.64506949492555,0.203109107064794,0.681937896282921,"ncx-1"
-0.374372239545207,7.03247519426135,1.64405874881572,0.20324669972243,0.681937896282921,"lin-1"
0.30089861556994,7.81441599824578,1.64395600290407,0.203260592123472,0.681937896282921,"D2045.2"
-0.39083334486205,6.82655993955083,1.63486899939699,0.204502283399836,0.685247686435693,"olrn-1"
-0.29776473242909,7.8743755455298,1.63469109756727,0.20452652659365,0.685247686435693,"ogdh-2"
0.231409212741521,8.95133286856644,1.62523663872587,0.205828072224696,0.688503233422562,"T21H3.1"
0.655447194435339,5.39380884667921,1.62485066628687,0.205884710219436,0.688503233422562,"vms-1"
0.728315941269826,5.09457297396537,1.62381183973665,0.206028221208662,0.688503233422562,"T10F2.2"
0.38282827258438,6.89904529599884,1.62356318289339,0.206059683315866,0.688503233422562,"C26B9.5"
-0.412302121884914,6.65650911463704,1.62128792785603,0.2063748622256,0.688539125537997,"fmil-1"
0.272408195166478,8.14363787483711,1.62057912896843,0.206472934556557,0.688539125537997,"F23B12.7"
-0.370900996826503,6.94093700524725,1.6202031587355,0.206525225465686,0.688539125537997,"acs-22"
-0.4025677878658,6.70443022987431,1.61901037280527,0.206690877495582,0.688539125537997,"ZK524.4"
0.638190030846287,5.43243302463377,1.61844557039034,0.206772300085111,0.688539125537997,"lin-65"
-0.2651534775331,8.35127130017522,1.61612144117432,0.207092364152206,0.689111688728597,"hsp-16.41"
0.397276704388677,6.74428446598725,1.61424211346802,0.207354430104551,0.689111688728597,"F13H8.2"
0.358104761048749,7.18724750873571,1.61397092917537,0.207392107459632,0.689111688728597,"W05B5.1"
-0.321373466205368,7.53208234817454,1.61315252373301,0.207506210856705,0.689111688728597,"eif-3.G"
0.54139743363783,5.78941437057287,1.60712865652218,0.20835062472632,0.691431680482568,"mtss-1"
0.413063225744133,6.66928230738782,1.60576064609206,0.208541012318884,0.691431680482568,"tag-343"
-0.374602991685295,6.92926610897519,1.60514225913284,0.208627703794944,0.691431680482568,"nrde-2"
-0.593420083515848,5.51516333310947,1.60286250633984,0.208950448269612,0.692033726375723,"ccpp-1"
-0.477176155967326,6.10693841318223,1.6009738652461,0.209214621922628,0.69244110697064,"ubc-9"
0.308306740063745,7.62294259792934,1.59957946797057,0.209410652691204,0.692622556608465,"smg-6"
0.46106844748276,6.34430670030403,1.59602787626296,0.209912958721985,0.69352455765716,"B0334.5"
0.31205841035395,7.58735004324104,1.59564833217499,0.20996615048336,0.69352455765716,"gcy-12"
-0.674709813969586,5.20625780568826,1.59320769696185,0.210316045356398,0.694212787666979,"dnj-18"
