,condition,rep
Aux_rep1_ribo,Aux,rep1
Aux_rep2_ribo,Aux,rep2
Aux_rep3_ribo,Aux,rep3
noAux_rep1_ribo,noAux,rep1
noAux_rep2_ribo,noAux,rep2
noAux_rep3_ribo,noAux,rep3
