"","Aux_rep1_RNA","Aux_rep2_RNA","Aux_rep3_RNA","noAux_rep1_RNA","noAux_rep2_RNA","noAux_rep3_RNA"
"aap-1",11.3025757264929,6.27420568530621,4.8297939812639,12.4707804161498,0.929475838212023,15.8637626706912
"aat-1",0,5.37789058740532,1.60993132708797,2.07846340269163,2.78842751463607,1.3219802225576
"aat-2",15.0701009686572,11.6520962727115,9.6595879625278,8.31385361076654,4.64737919106011,6.60990111278798
"aat-3",19.7795075213626,40.3341794055399,31.3936608782153,22.863097429608,24.1663717935126,25.1176242285943
"aat-5",33.9077271794787,38.5415492097381,40.2482831771991,33.2554144430661,30.6727026609968,38.3374264541703
"aat-6",3.7675252421643,20.6152472517204,16.9042789344236,6.2353902080749,3.71790335284809,14.5417824481336
"aat-9",11.3025757264929,3.58526039160355,4.02482831771991,3.11769510403745,7.43580670569618,18.5077231158063
"abf-5",7.53505048432861,10.7557811748106,16.9042789344236,11.431548714804,18.5895167642405,17.1857428932487
"abf-6",6.59316917378753,6.27420568530621,9.6595879625278,11.431548714804,11.1537100585443,6.60990111278798
"abl-1",16.9538635897394,20.6152472517204,20.9291072521436,17.6669389228789,28.8137509845727,14.5417824481336
"abt-2",64.9898104273342,106.661496650206,74.8618067095904,67.5500605874781,71.5696395423257,122.944160697856
"abt-4",61.2222851851699,82.4609890068816,71.6419440554145,34.294646144412,55.7685502927214,56.8451495699766
"abu-8",2.82564393162323,0.896315097900887,0.804965663543983,9.35308531211235,14.8716134113924,6.60990111278798
"ace-1",8.47693179486968,11.6520962727115,4.8297939812639,2.07846340269163,9.29475838212023,2.64396044511519
"ace-2",20.7213888319037,24.2005076433239,19.3191759250556,25.9807925336454,13.9421375731803,30.4055451188247
"ace-3",9.41881310541076,16.133671762216,24.1489699063195,11.431548714804,14.8716134113924,7.93188133534558
"ace-4",2.82564393162323,0,4.02482831771991,4.15692680538327,0.929475838212023,1.3219802225576
"acn-1",8.47693179486968,8.96315097900887,9.6595879625278,15.5884755201873,33.4611301756328,23.7956440060367
"aco-1",296.692612820439,482.217522670677,368.674273903144,330.47568102797,319.739688344936,479.878820788407
"aco-2",421.962827122402,391.689697782688,391.213312482376,455.183485189468,414.546223842562,378.086343651472
"acr-8",8.47693179486968,7.1705207832071,13.6844162802477,1.03923170134582,0,7.93188133534558
"acr-12",0.941881310541076,7.1705207832071,0.804965663543983,0,2.78842751463607,2.64396044511519
"acr-19",3.7675252421643,5.37789058740532,10.4645536260718,5.19615850672908,8.3652825439082,3.96594066767279
"lgc-11",4.70940655270538,2.68894529370266,0.804965663543983,1.03923170134582,2.78842751463607,5.28792089023038
"acr-23",5.65128786324646,2.68894529370266,2.41489699063195,0,0,3.96594066767279
"act-1",104.548825470059,155.062511936853,121.549815195141,116.393950550732,118.972907291139,194.331092715967
"act-2",77.2342674643682,59.1567964614585,92.571051307558,146.53166988976,139.421375731803,132.19802225576
"act-3",75.3505048432861,75.2904682236745,79.6916006908543,91.4523897184319,75.2875428951738,84.6067342436861
"act-4",1714.22398518476,2174.46042750755,1937.55235215037,1770.85081909327,1816.19578786629,2239.43449701257
"act-5",991.801019999753,958.160839656048,1091.53343976564,888.543104650674,1060.53193139992,861.931105107553
"acy-1",39.5590150427252,43.0231246992426,57.9575277751668,41.5692680538327,20.4484684406645,40.9813868992855
"acy-2",0,2.68894529370266,11.2695192896158,0,0,3.96594066767279
"acy-3",12.244457037034,12.5484113706124,23.3440042427755,30.1377193390287,26.9547993081487,25.1176242285943
"acy-4",17.8957449002804,5.37789058740532,8.04965663543983,14.5492438188414,8.3652825439082,3.96594066767279
"add-1",5.65128786324646,5.37789058740532,12.0744849531597,7.27462190942072,8.3652825439082,6.60990111278798
"add-2",5.65128786324646,3.58526039160355,6.43972530835186,13.5100121174956,7.43580670569618,7.93188133534558
"adm-2",29.1983206267734,33.1636586223328,32.1986265417593,29.0984876376829,28.8137509845727,42.3033671218431
"adm-4",8.47693179486968,13.4447264685133,11.2695192896158,13.5100121174956,6.50633086748416,7.93188133534558
"adr-1",55.5709973219235,79.7720437131789,52.3227681303589,60.2754386780574,57.6275019691454,81.962773798571
"adr-2",2.82564393162323,1.79263019580177,16.9042789344236,7.27462190942072,11.1537100585443,7.93188133534558
"ads-1",89.4787245014022,60.9494266572603,57.1525621116228,86.2562312117028,94.8065354976263,80.6407935760134
"adt-1",0.941881310541076,6.27420568530621,4.02482831771991,10.3923170134582,10.2242342203322,2.64396044511519
