"","Aux_rep1_ribo","Aux_rep2_ribo","Aux_rep3_ribo","noAux_rep1_ribo","noAux_rep2_ribo","noAux_rep3_ribo"
"act-5",5471.41721624989,6050.91769842004,6086.69159465002,5229.90605874644,4633.80526949249,5606.30379966052
"acy-1",92.1844327812172,123.065820720206,127.048702619238,84.1193986154447,117.630596143055,109.784016964632
"acy-2",14.4603031813674,19.6034050704753,16.9398270158985,15.4702342281278,22.0557367768228,13.7230021205789
"acy-3",116.586194399775,83.8590105792554,83.6403958909986,95.7220742865405,111.328957063963,115.273217812863
"acy-4",93.9919706788881,67.5228396871927,63.5243513096192,87.9869571724766,84.0218543878965,74.1042114511263
"add-1",46.0922163906086,41.3849662598923,50.8194810476954,36.7418062918034,54.6142053521327,43.9136067858526
"add-2",35.246989004583,33.7614198435963,42.3495675397462,52.2120405199312,51.4633858125866,45.7433404019298
"adm-2",38.8620647999249,49.0085126761882,40.2320891627588,54.1458197984471,54.6142053521327,52.1474080582
"adm-4",37.9582958510894,30.4941856651838,23.2922621468604,33.8411373740295,35.709288114856,30.1906046652737
"adr-1",190.695248204283,196.034050704753,179.985662043921,170.172576509405,195.350811451859,164.676025446947
"adr-2",64.1675953673179,90.3934789360805,77.2879607600367,81.2187296976707,54.6142053521327,80.5082791073964
"ads-1",614.562885208115,591.369386292671,617.2449468918,552.093984016309,539.840414442235,603.812093305473
"adt-1",1.80753789767093,1.08907805947085,3.17621756548096,25.1391306207076,19.9551904171254,7.31893446430877
"adt-2",160.870872892712,172.074333396394,155.634660708567,206.914382801209,227.909280027169,206.759898616723
"aex-1",39.7658337487604,35.939575962538,30.703436466316,28.0397995384816,28.3573758559151,28.3608710491965
"aex-3",64.1675953673179,75.1463861034886,66.7005688751002,48.3444819628992,61.9661176110737,57.6366089064315
"aex-5",86.7618190882044,94.7497911739639,83.6403958909986,87.0200675332186,71.418576229712,86.9123467636666
"aex-6",93.9919706788881,82.7699325197845,69.8767864405811,91.8545157295085,87.1726739274426,81.423145915435
"age-1",51.5148300836214,34.8504979030672,56.1131769901637,58.0133783554791,54.6142053521327,58.5514757144701
"ags-3",86.7618190882044,75.1463861034886,81.5229175140113,85.0862882547027,84.0218543878965,76.848811875242
