"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005581","collagen trimer","15/43","173/12591",0.0867052023121387,25.3884930770265,18.9078447834566,6.89457506870702e-18,2.06837252061211e-16,1.66921291137117e-16,"173839/184366/176117/178029/181356/178414/172197/181013/180785/36805042/177187/174226/174731/173382/179693",15
"GO:0060102","collagen and cuticulin-based cuticle extracellular matrix","5/43","16/12591",0.3125,91.5043604651163,21.2048564193152,1.55209441518277e-09,2.32814162277416e-08,1.87885113416862e-08,"172197/181013/177187/179693/179823",5
"GO:0005615","extracellular space","4/43","254/12591",0.015748031496063,4.61124336202161,3.4035228475553,0.0107739663047916,0.0538698315239579,0.0434738991245976,"181555/172635/180352/173445",4
"GO:0022624","proteasome accessory complex","1/43","24/12591",0.0416666666666667,12.2005813953488,3.21506840512618,0.0788927464454612,0.255556931437077,0.206238927124659,"176588",1
"GO:0031462","Cul2-RING ubiquitin ligase complex","1/43","26/12591",0.0384615384615385,11.2620751341682,3.06619983112128,0.0851856438123592,0.255556931437077,0.206238927124659,"173273",1
"GO:0098590","plasma membrane region","2/43","319/12591",0.00626959247648903,1.83582415980171,0.885140936043176,0.297543414494144,0.495905690823574,0.400204592594463,"179569/178215",2
"GO:0140535","intracellular protein-containing complex","2/43","438/12591",0.0045662100456621,1.33705001592864,0.420290425049186,0.443985466174032,0.619974482094105,0.500330283795243,"173273/176588",2
"GO:0005654","nucleoplasm","1/43","278/12591",0.00359712230215827,1.05328760247616,0.0525928222774998,0.617745716007904,0.712783518470658,0.575228804379829,"176588",1
"GO:1990234","transferase complex","1/43","388/12591",0.00257731958762887,0.754675137856629,-0.287331975289601,0.740293952522296,0.772941362471986,0.623777239889673,"173273",1
