"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005581","collagen trimer","30/244","173/12591",0.173410404624277,8.94840329764048,14.7980391791703,2.23013754344102e-20,2.49775404865394e-18,2.15971214733236e-18,"177559/173839/181610/171873/184366/176117/259335/176721/176947/176988/177230/178029/179431/180960/181356/174107/180529/178414/172197/181013/180785/176846/36805042/177187/179673/174397/174226/174731/173382/179693",30
"GO:0060102","collagen and cuticulin-based cuticle extracellular matrix","10/244","16/12591",0.625,32.2515368852459,17.5834636725737,4.49560874287026e-14,2.51754089600735e-12,2.17682107549507e-12,"171829/172197/181013/177187/179673/174319/174397/179693/179823/172557",10
"GO:0005730","nucleolus","17/244","193/12591",0.0880829015544041,4.54529431750616,6.97721630820116,2.05880086551139e-07,3.84309494895459e-06,3.32297683556224e-06,"173812/174598/175145/180246/178346/174572/172420/174038/172226/186322/177621/176864/176863/176053/173439/173696/178851",17
"GO:0030686","90S preribosome","6/244","22/12591",0.272727272727273,14.0733979135618,8.62733200730613,2.86476005731725e-06,4.5836160917076e-05,3.96327707177725e-05,"174598/178346/172420/174038/172226/176053",6
"GO:0030684","preribosome","8/244","74/12591",0.108108108108108,5.57864421798848,5.55302573316208,8.87073961087062e-05,0.00124190354552189,0.0010738263739475,"171886/174598/178346/172420/174038/172226/186322/176053",8
"GO:0030687","preribosome, large subunit precursor","4/244","17/12591",0.235294117647059,12.1417550626808,6.4620214257523,0.000268470154342998,0.00334096192071287,0.00288880166076676,"171886/174598/172226/186322",4
"GO:0030056","hemidesmosome","3/244","15/12591",0.2,10.3204918032787,5.07738678328685,0.00275267631124745,0.0280272497145195,0.0242340880990207,"176430/181698/176060",3
"GO:0005615","extracellular space","12/244","254/12591",0.047244094488189,2.43791144959339,3.25440255314951,0.0039903950590205,0.0372436872175247,0.032203188195604,"171829/178120/181555/181768/184188/172635/179695/172557/180352/181720/173445/173686",12
"GO:0005635","nuclear envelope","7/244","118/12591",0.0593220338983051,3.06116282300639,3.16224050453053,0.00804405798647756,0.0643524638918205,0.0556431078763861,"176330/175058/181698/175443/171954/172348/174004",7
"GO:0032040","small-subunit processome","4/244","45/12591",0.0888888888888889,4.58688524590164,3.38842714369335,0.0110060180104318,0.082178267811224,0.0710563969796298,"178346/172420/174038/176053",4
"GO:0030055","cell-substrate junction","3/244","31/12591",0.0967741935483871,4.99378635642517,3.1296654130402,0.0216686867078316,0.151680806954821,0.131152577442139,"176430/181698/176060",3
"GO:0009986","cell surface","6/244","122/12591",0.0491803278688525,2.53782585326525,2.3993760240618,0.0313524692235721,0.206557444296475,0.178602301459358,"178120/174223/181664/186484/259631/187856",6
"GO:0005643","nuclear pore","3/244","38/12591",0.0789473684210526,4.07387834339948,2.6676679016902,0.0368628026980518,0.229368550121211,0.198326189954431,"175443/171954/172348",3
"GO:0000177","cytoplasmic exosome (RNase complex)","1/244","10/12591",0.1,5.16024590163935,1.85007133572943,0.177792274844382,0.665416608690636,0.575360225559572,"177875",1
"GO:0030688","preribosome, small subunit precursor","1/244","10/12591",0.1,5.16024590163935,1.85007133572943,0.177792274844382,0.665416608690636,0.575360225559572,"176053",1
"GO:0031588","nucleotide-activated protein kinase complex","1/244","10/12591",0.1,5.16024590163935,1.85007133572943,0.177792274844382,0.665416608690636,0.575360225559572,"176230",1
"GO:0000176","nuclear exosome (RNase complex)","1/244","11/12591",0.0909090909090909,4.69113263785395,1.72164151955317,0.193738438498938,0.665416608690636,0.575360225559572,"177875",1
"GO:0000794","condensed nuclear chromosome","2/244","46/12591",0.0434782608695652,2.2435851746258,1.18780780080874,0.223893234082797,0.665416608690636,0.575360225559572,"179352/179678",2
"GO:0005905","clathrin-coated pit","1/244","13/12591",0.0769230769230769,3.96941992433796,1.50579050173743,0.224712625423716,0.665416608690636,0.575360225559572,"172520",1
"GO:0005637","nuclear inner membrane","1/244","15/12591",0.0666666666666667,3.44016393442623,1.32929209865843,0.254501565333102,0.665416608690636,0.575360225559572,"175058",1
"GO:0098590","plasma membrane region","8/244","319/12591",0.0250783699059561,1.29410555527005,0.747942049770139,0.278724842042232,0.665416608690636,0.575360225559572,"179569/181554/178120/172520/178215/181326/174940/171740",8
"GO:0000793","condensed chromosome","4/244","138/12591",0.0289855072463768,1.49572344975053,0.823131205847226,0.279111395213785,0.665416608690636,0.575360225559572,"179352/176330/179678/179679",4
"GO:0000228","nuclear chromosome","3/244","96/12591",0.03125,1.61257684426229,0.846944820932196,0.285049154298956,0.665416608690636,0.575360225559572,"179352/179678/187558",3
