"WB_ID","ENTREZ_ID"
"WBGene00014243","177804"
"WBGene00015057","24104108"
"WBGene00015182","181986"
"WBGene00015298","173762"
"WBGene00015326","177281"
"WBGene00015339","178885"
"WBGene00015400","182177"
"WBGene00015512","174254"
"WBGene00015514","174259"
"WBGene00015538","177355"
"WBGene00015545","181720"
"WBGene00015646","173445"
"WBGene00015709","179148"
"WBGene00015710","182538"
"WBGene00015781","180896"
"WBGene00015795","174143"
"WBGene00015841","173686"
"WBGene00015930","177445"
"WBGene00016022","173391"
"WBGene00016119","173965"
"WBGene00016133","180804"
"WBGene00016264","183055"
"WBGene00016360","183174"
"WBGene00016422","172261"
"WBGene00016505","259631"
"WBGene00016594","183403"
"WBGene00016596","177492"
"WBGene00016710","173715"
"WBGene00016740","172420"
"WBGene00016786","183622"
"WBGene00016805","173396"
"WBGene00016845","177554"
"WBGene00016907","171749"
"WBGene00017018","179191"
"WBGene00017154","180969"
"WBGene00017329","3564933"
"WBGene00017334","266913"
"WBGene00017376","181769"
"WBGene00017431","179020"
"WBGene00017435","174038"
"WBGene00017438","174035"
"WBGene00017480","177424"
"WBGene00017483","184533"
"WBGene00017501","178711"
"WBGene00017506","178648"
"WBGene00017563","174082"
"WBGene00017659","179290"
"WBGene00017678","179210"
"WBGene00017691","180928"
"WBGene00017716","180868"
"WBGene00017895","174004"
"WBGene00017937","175207"
"WBGene00017962","185173"
"WBGene00017979","171827"
"WBGene00017991","177534"
"WBGene00017998","177552"
"WBGene00018052","185308"
"WBGene00018297","178856"
"WBGene00018418","176243"
"WBGene00018487","181015"
"WBGene00018572","173503"
"WBGene00018640","180855"
"WBGene00018656","180520"
"WBGene00018682","180400"
"WBGene00018743","180578"
"WBGene00018789","172126"
"WBGene00018893","172226"
"WBGene00018898","186322"
"WBGene00018965","175769"
"WBGene00018969","173750"
"WBGene00019090","178682"
"WBGene00019148","181103"
"WBGene00019154","177358"
"WBGene00019184","175168"
"WBGene00019268","173994"
"WBGene00019272","180474"
"WBGene00019318","180552"
"WBGene00019357","178860"
"WBGene00019510","177621"
"WBGene00019515","187129"
"WBGene00019520","179014"
"WBGene00019565","187209"
"WBGene00019644","178889"
"WBGene00019801","176230"
"WBGene00019839","178870"
"WBGene00019858","187558"
"WBGene00019970","187708"
"WBGene00019983","178587"
"WBGene00020031","172011"
"WBGene00020049","187856"
"WBGene00020141","187942"
"WBGene00020156","187981"
"WBGene00020194","188029"
"WBGene00020208","177012"
"WBGene00020296","176864"
"WBGene00020297","176863"
"WBGene00020554","179273"
"WBGene00020592","178880"
"WBGene00020601","176053"
"WBGene00020846","180649"
"WBGene00021074","173439"
"WBGene00021095","173448"
"WBGene00021372","177139"
"WBGene00021556","189928"
"WBGene00021625","178841"
"WBGene00021675","24105124"
"WBGene00021709","178581"
"WBGene00021715","173696"
"WBGene00021743","3565176"
"WBGene00021875","177060"
"WBGene00021876","177058"
"WBGene00022021","178851"
"WBGene00022078","177040"
"WBGene00022103","190583"
"WBGene00022160","171740"
"WBGene00022274","171726"
"WBGene00022283","173802"
"WBGene00022287","178630"
"WBGene00022517","171671"
"WBGene00022591","172340"
"WBGene00022649","174008"
"WBGene00022657","191225"
"WBGene00022679","177218"
"WBGene00022680","177219"
"WBGene00022789","179309"
"WBGene00022814","179159"
"WBGene00022816","176076"
"WBGene00022848","179051"
"WBGene00022856","174155"
"WBGene00044109","259661"
"WBGene00044132","3565519"
"WBGene00044621","180525"
"WBGene00044623","180821"
"WBGene00044724","4363121"
"WBGene00044811","4363044"
"WBGene00045246","6418648"
"WBGene00194713","13184428"
"WBGene00302974","36805065"
