gene_symbol,Aux_rep1_RNA,Aux_rep2_RNA,Aux_rep3_RNA,noAux_rep1_RNA,noAux_rep2_RNA,noAux_rep3_RNA
flp-5,3,19,14,10,3,6
flp-6,68,77,43,64,64,49
flp-7,2,0,3,0,1,3
flp-8,7,2,4,3,3,1
flp-9,20,12,29,15,11,13
flp-11,0,7,1,6,5,4
flp-12,6,2,2,6,3,0
flp-13,23,23,21,10,8,10
flp-14,70,60,79,59,85,29
flp-15,4,1,5,1,5,6
flp-16,10,36,16,21,12,24
flp-17,24,12,34,26,38,7
flp-18,33,27,27,20,18,23
flp-19,20,4,3,6,18,5
flr-1,3,0,2,2,2,1
flr-4,1,4,16,0,5,3
baz-2,17,18,14,20,28,28
fmi-1,12,29,29,29,29,12
fmo-1,10,8,11,15,13,6
fmo-2,9,13,22,1,2,8
fmo-3,2,4,2,10,10,4
fmo-4,4,10,9,8,18,1
fmo-5,8,11,24,14,12,11
fox-1,6,10,6,4,6,2
fre-1,4,4,5,5,1,2
frh-1,0,0,0,3,1,0
frm-1,355,257,362,245,251,232
frm-2,10,1,5,5,16,8
frm-3,18,17,19,6,13,14
frm-4,37,39,50,26,31,13
frm-5.1,21,3,8,10,5,18
frm-7,104,61,78,79,79,60
